% Model:              Topologia 4.mph
% Version:            COMSOL 6.3.0.420
% Date:               Jul 23 2026, 20:02
% Table:              Table 1 - Global Evaluation 2
% H (cm)                                          W (cm)                                            N_DC                                              N_AC                                              Time (s)                                          Corrente de curto (A)                             Queda de tensao (V)
20                                                0.5                                               250                                               400                                               0                                                 8.102908879736229E-6                              0.006976767481694811
20                                                0.5                                               250                                               400                                               0.0010416666666666667                             -2.688392585379963                                0.48668170219307016
20                                                0.5                                               250                                               400                                               0.0020833333333333333                             -4.977453446803822                                0.5726824511828865
20                                                0.5                                               250                                               400                                               0.003125                                          -6.509248669950391                                0.5985803225598696
20                                                0.5                                               250                                               400                                               0.004166666666666667                              -7.0507613477804245                               0.5157841877602891
20                                                0.5                                               250                                               400                                               0.005208333333333333                              -6.5188627325216695                               0.3543831332494657
20                                                0.5                                               250                                               400                                               0.00625                                           -4.993552775493141                                0.08050425819630258
20                                                0.5                                               250                                               400                                               0.007291666666666667                              -2.7022738576796472                               -0.1529327724126185
20                                                0.5                                               250                                               400                                               0.008333333333333333                              -0.010586168680768017                             -0.34378682921064857
20                                                0.5                                               250                                               400                                               0.009375                                          2.6865968808551703                                -0.49234394484551824
20                                                0.5                                               250                                               400                                               0.010416666666666666                              4.973633423684672                                 -0.5865997480698439
20                                                0.5                                               250                                               400                                               0.011458333333333333                              6.503466287900502                                 -0.5921058173353272
20                                                0.5                                               250                                               400                                               0.0125                                            7.043196784821768                                 -0.5076177834783998
20                                                0.5                                               250                                               400                                               0.013541666666666667                              6.510664409220942                                 -0.34585265575522356
20                                                0.5                                               250                                               400                                               0.014583333333333334                              4.9869423309155705                                -0.1314356652886488
20                                                0.5                                               250                                               400                                               0.015625                                          2.7040034901070906                                0.10299119713339941
20                                                0.5                                               250                                               400                                               0.016666666666666666                              0.013483628481897417                              0.3424841634399909
20                                                0.5                                               250                                               400                                               0.017708333333333333                              -2.686574072529355                                0.4929232763212727
20                                                0.5                                               250                                               400                                               0.01875                                           -4.973611439179766                                0.5865589693366942
20                                                0.5                                               250                                               400                                               0.019791666666666666                              -6.503466347509173                                0.5921138902376198
20                                                0.5                                               250                                               400                                               0.020833333333333332                              -7.0431966155314765                               0.5076171365791721
20                                                0.5                                               250                                               400                                               0.021875                                          -6.5212890958457015                               0.2927535048191174
20                                                0.5                                               250                                               400                                               0.022916666666666665                              -4.996861999942179                                0.0797052014688018
20                                                0.5                                               250                                               400                                               0.02395833333333333                               -2.711593517731253                                -0.14257063180638058
20                                                0.5                                               250                                               400                                               0.025                                             -0.01353091067986594                              -0.34368513126852884
20                                                0.5                                               250                                               400                                               0.025520833333333336                              11.910573640731085                                -3.8463035917536983
20                                                0.5                                               250                                               400                                               0.026041666666666668                              24.52178685251806                                 -4.541346131771469
20                                                0.5                                               250                                               400                                               0.026562500000000003                              36.162009042286215                                -5.077614000180118
