% Model:              Simulacao_20260527 - OTIMIZACAO.mph
% Version:            COMSOL 6.2.0.290
% Date:               May 28 2026, 17:10
% Table:              Table 5 - Global Evaluation 1
% H (cm)                                          W (cm)                                            N_DC                                              N_AC                                              Time (s)                                          Campo B (T)                                       Permeabilidade Relativa (1)
20                                                2                                                 200                                               500                                               0                                                 0.10192695980545495                               1199.9992691505195
20                                                2                                                 200                                               500                                               0.003333333333333333                              2.1146547295962406                                13.714231788942984
20                                                2                                                 200                                               500                                               0.006666666666666666                              2.10661699081751                                  14.388602927948032
20                                                2                                                 200                                               500                                               0.009999999999999998                              2.070833009393776                                 17.029605640615372
20                                                2                                                 200                                               500                                               0.013333333333333332                              2.0584674604386795                                18.08811765915723
20                                                2                                                 200                                               500                                               0.016666666666666666                              2.088833676754089                                 15.710701176430815
20                                                2                                                 200                                               500                                               0.019999999999999997                              2.114526546526626                                 13.724451640070463
20                                                2                                                 200                                               500                                               0.02333333333333333                               2.1065060200373416                                14.398415745282666
20                                                2                                                 200                                               500                                               0.026666666666666665                              2.0708308734789918                                17.029776752931394
20                                                2                                                 200                                               500                                               0.03                                              2.058467425638688                                 18.088120842265916
20                                                2                                                 200                                               500                                               0.03333333333333333                               2.0888336761785045                                15.710701215002272
20                                                2                                                 200                                               500                                               0.03666666666666667                               2.114526546717306                                 13.724451624855543
20                                                2                                                 200                                               500                                               0.039999999999999994                              2.106506020040043                                 14.398415745043616
20                                                2                                                 200                                               500                                               0.04333333333333333                               2.070830873479043                                 17.029776752927305
20                                                2                                                 200                                               500                                               0.04666666666666666                               2.0584674256386886                                18.088120842265873
20                                                2                                                 200                                               500                                               0.049999999999999996                              2.0888336761785036                                15.710701215002327
20                                                2                                                 200                                               500                                               0.051666666666666666                              2.192531054007419                                 9.548262359980637
20                                                2                                                 200                                               500                                               0.05333333333333334                               2.280641628650333                                 7.186163796585785
20                                                2                                                 200                                               500                                               0.055                                             2.2969866094195353                                6.883739988493462
20                                                2                                                 200                                               500                                               0.05666666666666667                               2.234740632693267                                 8.229801919911148
20                                                2                                                 200                                               500                                               0.058333333333333334                              2.121754755550792                                 13.172762707164717
20                                                2                                                 200                                               500                                               0.06                                              1.9209981041946143                                39.94647845018796
20                                                2                                                 200                                               500                                               0.06166666666666667                               1.544436520741635                                 187.61205632950538
20                                                2                                                 200                                               500                                               0.06333333333333334                               1.2692750525220757                                452.8892244709286
20                                                2                                                 200                                               500                                               0.065                                             1.3695659315152664                                318.47700917756873
20                                                2                                                 200                                               500                                               0.06666666666666667                               1.905235122880114                                 45.00250517991845
20                                                2                                                 200                                               500                                               0.06833333333333333                               2.186125447557226                                 9.784752832222363
20                                                2                                                 200                                               500                                               0.07                                              2.286948986338038                                 7.065848492382977
20                                                2                                                 200                                               500                                               0.07166666666666667                               2.3011288959210097                                6.811698744607893
20                                                2                                                 200                                               500                                               0.07333333333333333                               2.2416495671644188                                8.050754649134856
20                                                2                                                 200                                               500                                               0.075                                             2.12866196788767                                  12.688599798338588
