% Model:              refrencia.mph
% Version:            COMSOL 6.2.0.290
% Table:              Table 1 - Global Evaluation 1
% H (cm)  W (cm)  N_DC  N_AC  Time (s)  Corrente de Curto (A)  Queda de Tensao (V)
50  1.4  200  1780  0.4335  0.210297449122  16.6190541547
50  1.4  200  1780  0.433666666667  -0.234706840659  16.548937005
50  1.4  200  1780  0.433833333333  -0.684478598797  16.2688875362
50  1.4  200  1780  0.434  -1.14078036255  15.6901564204
50  1.4  200  1780  0.434166666667  -1.59085166463  15.0934028235
50  1.4  200  1780  0.434333333333  -2.03077532815  14.5353620163
50  1.4  200  1780  0.4345  -2.45886562615  14.0169548819
50  1.4  200  1780  0.434666666667  -2.8740778709  13.523849693
50  1.4  200  1780  0.434833333333  -3.27543241436  13.0412537842
50  1.4  200  1780  0.435  -3.66186645747  12.5578341758
50  1.4  200  1780  0.435166666667  -4.03222279099  12.0661548221
50  1.4  200  1780  0.435333333333  -4.38528293571  11.5619801964
50  1.4  200  1780  0.4355  -4.71983548161  11.0426783364
50  1.4  200  1780  0.435666666667  -5.03469946369  10.5067589182
50  1.4  200  1780  0.435833333333  -5.32873960473  9.95361035566
50  1.4  200  1780  0.436  -5.60089909533  9.38278340229
50  1.4  200  1780  0.436166666667  -5.85019269477  8.79427410069
50  1.4  200  1780  0.436333333333  -6.07572078824  8.18826550701
50  1.4  200  1780  0.4365  -6.27666731982  7.56526964896
50  1.4  200  1780  0.436666666667  -6.45233093135  6.92541638245
50  1.4  200  1780  0.436833333333  -6.60205783667  6.27022817838
50  1.4  200  1780  0.437  -6.72531751871  5.60075694498
50  1.4  200  1780  0.437166666667  -6.82176046793  4.91616650031
50  1.4  200  1780  0.437333333333  -6.89105614128  4.21788675076
50  1.4  200  1780  0.4375  -6.93294890987  3.50822011072
50  1.4  200  1780  0.437666666667  -6.94732168091  2.78874204399
50  1.4  200  1780  0.437833333333  -6.93421609022  2.05979369403
50  1.4  200  1780  0.438  -6.89377360831  1.32197226902
50  1.4  200  1780  0.438166666667  -6.82620753052  0.576825954492
50  1.4  200  1780  0.438333333333  -6.73180204441  -0.173149889068
50  1.4  200  1780  0.4385  -6.61096383629  -0.92586186927
50  1.4  200  1780  0.438666666667  -6.46439415772  -1.68403807787
50  1.4  200  1780  0.438833333333  -6.29278080212  -2.44746382599
50  1.4  200  1780  0.439  -6.09641941657  -3.20343275735
50  1.4  200  1780  0.439166666667  -5.87608595358  -3.94898690514
50  1.4  200  1780  0.439333333333  -5.63331128824  -4.69798142537
50  1.4  200  1780  0.4395  -5.36965117295  -5.46264022355
50  1.4  200  1780  0.439666666667  -5.08305199294  -6.16135385711
50  1.4  200  1780  0.439833333333  -4.77940266945  -6.91221409076
50  1.4  200  1780  0.44  -4.45690859765  -7.6362361848
50  1.4  200  1780  0.440166666667  -4.11976649894  -8.40483196417
50  1.4  200  1780  0.440333333333  -3.76681797287  -9.15174889698
50  1.4  200  1780  0.4405  -3.39228674908  -9.69194164048
50  1.4  200  1780  0.440666666667  -3.01374184882  -10.4319876087
50  1.4  200  1780  0.440833333333  -2.62947693461  -11.2876790342
50  1.4  200  1780  0.441  -2.21788052016  -11.6681875828
50  1.4  200  1780  0.441166666667  -1.81362989957  -12.4115555035
50  1.4  200  1780  0.441333333333  -1.39882052836  -13.0195506626
50  1.4  200  1780  0.4415  -0.975799991112  -13.5078208273
50  1.4  200  1780  0.441666666667  -0.55876529345  -14.1926384536
50  1.4  200  1780  0.441833333333  -0.147375910439  -15.0208470721
50  1.4  200  1780  0.442  0.270749862752  -15.6334442439
50  1.4  200  1780  0.442166666667  0.690217093898  -16.1231297606
50  1.4  200  1780  0.442333333333  1.10868101941  -16.5054797361
50  1.4  200  1780  0.4425  1.52399717213  -16.7915069328
50  1.4  200  1780  0.442666666667  1.93411785386  -16.9904618632
50  1.4  200  1780  0.442833333333  2.33733404281  -17.1038570987
50  1.4  200  1780  0.443  2.73119876778  -17.1529789125
50  1.4  200  1780  0.443166666667  3.11395459747  -17.1427903331
50  1.4  200  1780  0.443333333333  3.48436440867  -17.0663862153
50  1.4  200  1780  0.4435  3.84119586295  -16.9182387942
50  1.4  200  1780  0.443666666667  4.18317500243  -16.6955217017
50  1.4  200  1780  0.443833333333  4.50911744018  -16.3949165887
50  1.4  200  1780  0.444  4.81786142963  -16.0144449834
50  1.4  200  1780  0.444166666667  5.10824981249  -15.5540510785
50  1.4  200  1780  0.444333333333  5.37931249457  -15.0110830616
50  1.4  200  1780  0.4445  5.6301823696  -14.38253636
50  1.4  200  1780  0.444666666667  5.86005003016  -13.6663027623
50  1.4  200  1780  0.444833333333  6.06815574589  -12.8614636268
50  1.4  200  1780  0.445  6.25378199128  -11.9685594602
50  1.4  200  1780  0.445166666667  6.41631526905  -10.9880893959
50  1.4  200  1780  0.445333333333  6.55518829852  -9.92203913769
50  1.4  200  1780  0.4455  6.66988666175  -8.7737611771
50  1.4  200  1780  0.445666666667  6.75993698302  -7.54831337051
50  1.4  200  1780  0.445833333333  6.82490255816  -6.2525974442
50  1.4  200  1780  0.446  6.86437011823  -4.89571173624
50  1.4  200  1780  0.446166666667  6.87795386089  -3.488854319
50  1.4  200  1780  0.446333333333  6.86529621768  -2.04529799097
50  1.4  200  1780  0.4465  6.82608115514  -0.580035889273
50  1.4  200  1780  0.446666666667  6.7600498522  0.890644207142
50  1.4  200  1780  0.446833333333  6.66703457379  2.35005860184
50  1.4  200  1780  0.447  6.54698629414  3.7818783429
50  1.4  200  1780  0.447166666667  6.39999787743  5.17077753881
50  1.4  200  1780  0.447333333333  6.22632776599  6.5031048325
50  1.4  200  1780  0.4475  6.02641139574  7.76725313615
50  1.4  200  1780  0.447666666667  5.80086896899  8.95394651641
50  1.4  200  1780  0.447833333333  5.55050215779  10.0562552384
50  1.4  200  1780  0.448  5.27628814009  11.0695519948
50  1.4  200  1780  0.448166666667  4.97936676026  11.9913019974
50  1.4  200  1780  0.448333333333  4.66103101399  12.8209455599
50  1.4  200  1780  0.4485  4.32270143375  13.5593793084
50  1.4  200  1780  0.448666666667  3.96591409205  14.208790324
50  1.4  200  1780  0.448833333333  3.59229833358  14.7722358869
50  1.4  200  1780  0.449  3.20356474289  15.2534891182
50  1.4  200  1780  0.449166666667  2.80147962682  15.6565474163
50  1.4  200  1780  0.449333333333  2.38785685515  15.9855864915
50  1.4  200  1780  0.4495  1.9645413547  16.2447064637
50  1.4  200  1780  0.449666666667  1.53339262128  16.4376818228
50  1.4  200  1780  0.449833333333  1.09628425996  16.568121256
50  1.4  200  1780  0.45  0.655085192564  16.6391638911
50  1.4  200  1780  0.450166666667  0.211662211632  16.6537191224
50  1.4  200  1780  0.450333333333  -0.23213581978  16.6142409354
50  1.4  200  1780  0.4505  -0.679776176603  16.3883290599
50  1.4  200  1780  0.450666666667  -1.13267030912  15.8961517774
50  1.4  200  1780  0.450833333333  -1.5799392242  15.3705788102
50  1.4  200  1780  0.451  -2.01823585399  14.85386466
50  1.4  200  1780  0.451166666667  -2.44567365942  14.3520308366
50  1.4  200  1780  0.451333333333  -2.86080570777  13.8609626366
50  1.4  200  1780  0.4515  -3.26231770147  13.3743674916
50  1.4  200  1780  0.451666666667  -3.64894577369  12.8860195438
50  1.4  200  1780  0.451833333333  -4.0194394868  12.3908507483
50  1.4  200  1780  0.452  -4.37255582506  11.8852488071
50  1.4  200  1780  0.452166666667  -4.71188036572  11.24473828
50  1.4  200  1780  0.452333333333  -5.03074870802  10.6071081123
50  1.4  200  1780  0.4525  -5.32712517442  9.99461688549
50  1.4  200  1780  0.452666666667  -5.60038383298  9.3958710659
50  1.4  200  1780  0.452833333333  -5.85009694371  8.79670617776
50  1.4  200  1780  0.453  -6.07574120253  8.18774698402
50  1.4  200  1780  0.453166666667  -6.27669886438  7.56446841711
50  1.4  200  1780  0.453333333333  -6.45233614184  6.92528403623
50  1.4  200  1780  0.4535  -6.60206026959  6.27016638231
50  1.4  200  1780  0.453666666667  -6.72535175074  5.59988745138
50  1.4  200  1780  0.453833333333  -6.82179033108  4.91540797627
50  1.4  200  1780  0.454  -6.89105258711  4.21797702664
50  1.4  200  1780  0.454166666667  -6.93293035901  3.50869130263
50  1.4  200  1780  0.454333333333  -6.94732692269  2.78860890274
50  1.4  200  1780  0.4545  -6.93424549138  2.05904690461
50  1.4  200  1780  0.454666666667  -6.8937942907  1.32144693625
50  1.4  200  1780  0.454833333333  -6.82619239751  0.577210332995
50  1.4  200  1780  0.455  -6.73176905268  -0.172311899302
50  1.4  200  1780  0.455166666667  -6.61094127699  -0.925288862971
50  1.4  200  1780  0.455333333333  -6.46424484509  -1.68024553685
50  1.4  200  1780  0.4555  -6.29236900181  -2.4370040981
50  1.4  200  1780  0.455666666667  -6.09604893849  -3.19402261397
50  1.4  200  1780  0.455833333333  -5.87607945448  -3.94882182815
50  1.4  200  1780  0.456  -5.63334930778  -4.69894712165
50  1.4  200  1780  0.456166666667  -5.36894461257  -5.44469358997
50  1.4  200  1780  0.456333333333  -5.08400080378  -6.1854536525
50  1.4  200  1780  0.4565  -4.77969046158  -6.91952401095
50  1.4  200  1780  0.456666666667  -4.45729139073  -7.64595912908
50  1.4  200  1780  0.456833333333  -4.11802483654  -8.36059373933
50  1.4  200  1780  0.457  -3.76336205927  -9.06396869145
50  1.4  200  1780  0.457166666667  -3.39501071415  -9.76113035334
50  1.4  200  1780  0.457333333333  -3.01439430869  -10.4485600894
50  1.4  200  1780  0.4575  -2.62327381403  -11.1301197712
