% Exemplo sintetico em formato COMSOL
% Fundamental: 60 Hz | Duracao: 1.0 s | Amostragem: 20 kHz
% H (cm)  W (cm)  N_DC  N_AC  Time (s)  Corrente de Curto (A)  Queda de Tensao (V)
0  0  0  0  0.000000000  0.000000000  -7.362491054
0  0  0  0  0.000050000  0.188484397  -7.010686404
0  0  0  0  0.000100000  0.376901827  -6.656390890
0  0  0  0  0.000150000  0.565185345  -6.299730393
0  0  0  0  0.000200000  0.753268055  -5.940831632
0  0  0  0  0.000250000  0.941083133  -5.579822121
0  0  0  0  0.000300000  1.128563849  -5.216830126
0  0  0  0  0.000350000  1.315643591  -4.851984616
0  0  0  0  0.000400000  1.502255891  -4.485415219
0  0  0  0  0.000450000  1.688334447  -4.117252175
0  0  0  0  0.000500000  1.873813146  -3.747626292
0  0  0  0  0.000550000  2.058626088  -3.376668894
0  0  0  0  0.000600000  2.242707609  -3.004511782
0  0  0  0  0.000650000  2.425992308  -2.631287182
0  0  0  0  0.000700000  2.608415063  -2.257127697
0  0  0  0  0.000750000  2.789911060  -1.882166266
0  0  0  0  0.000800000  2.970415816  -1.506536111
0  0  0  0  0.000850000  3.149865197  -1.130370690
0  0  0  0  0.000900000  3.328195445  -0.753803653
0  0  0  0  0.000950000  3.505343202  -0.376968794
0  0  0  0  0.001000000  3.681245527  0.000000000
0  0  0  0  0.001050000  3.855839923  0.376968794
0  0  0  0  0.001100000  4.029064357  0.753803653
0  0  0  0  0.001150000  4.200857284  1.130370690
0  0  0  0  0.001200000  4.371157667  1.506536111
0  0  0  0  0.001250000  4.539904997  1.882166266
0  0  0  0  0.001300000  4.707039322  2.257127697
0  0  0  0  0.001350000  4.872501257  2.631287182
0  0  0  0  0.001400000  5.036232016  3.004511782
0  0  0  0  0.001450000  5.198173426  3.376668894
0  0  0  0  0.001500000  5.358267950  3.747626292
0  0  0  0  0.001550000  5.516458706  4.117252175
0  0  0  0  0.001600000  5.672689491  4.485415219
0  0  0  0  0.001650000  5.826904797  4.851984616
0  0  0  0  0.001700000  5.979049831  5.216830126
0  0  0  0  0.001750000  6.129070537  5.579822121
0  0  0  0  0.001800000  6.276913613  5.940831632
0  0  0  0  0.001850000  6.422526532  6.299730393
0  0  0  0  0.001900000  6.565857558  6.656390890
0  0  0  0  0.001950000  6.706855765  7.010686404
0  0  0  0  0.002000000  6.845471059  7.362491054
0  0  0  0  0.002050000  6.981654190  7.711679846
0  0  0  0  0.002100000  7.115356772  8.058128714
0  0  0  0  0.002150000  7.246531302  8.401714568
0  0  0  0  0.002200000  7.375131174  8.742315333
0  0  0  0  0.002250000  7.501110696  9.079809995
0  0  0  0  0.002300000  7.624425110  9.414078643
0  0  0  0  0.002350000  7.745030602  9.745002515
0  0  0  0  0.002400000  7.862884321  10.072464033
0  0  0  0  0.002450000  7.977944395  10.396346852
0  0  0  0  0.002500000  8.090169944  10.716535900
0  0  0  0  0.002550000  8.199521093  11.032917413
0  0  0  0  0.002600000  8.305958992  11.345378983
0  0  0  0  0.002650000  8.409445823  11.653809593
0  0  0  0  0.002700000  8.509944818  11.958099661
0  0  0  0  0.002750000  8.607420270  12.258141073
0  0  0  0  0.002800000  8.701837547  12.553827226
0  0  0  0  0.002850000  8.793163102  12.845053064
0  0  0  0  0.002900000  8.881364488  13.131715115
