% Exemplo sintetico em formato COMSOL
% Fundamental: 60 Hz | Duracao: 1.0 s | Amostragem: 20 kHz
% H (cm)  W (cm)  N_DC  N_AC  Time (s)  Corrente de Curto (A)  Queda de Tensao (V)
0  0  0  0  0.000000000  -10.000000000  17.600000000
0  0  0  0  0.000050000  -9.940000000  17.720000000
0  0  0  0  0.000100000  -9.880000000  17.840000000
0  0  0  0  0.000150000  -9.820000000  17.960000000
0  0  0  0  0.000200000  -9.760000000  18.080000000
0  0  0  0  0.000250000  -9.700000000  18.200000000
0  0  0  0  0.000300000  -9.640000000  18.320000000
0  0  0  0  0.000350000  -9.580000000  18.440000000
0  0  0  0  0.000400000  -9.520000000  18.560000000
0  0  0  0  0.000450000  -9.460000000  18.680000000
0  0  0  0  0.000500000  -9.400000000  18.800000000
0  0  0  0  0.000550000  -9.340000000  18.920000000
0  0  0  0  0.000600000  -9.280000000  19.040000000
0  0  0  0  0.000650000  -9.220000000  19.160000000
0  0  0  0  0.000700000  -9.160000000  19.280000000
0  0  0  0  0.000750000  -9.100000000  19.400000000
0  0  0  0  0.000800000  -9.040000000  19.520000000
0  0  0  0  0.000850000  -8.980000000  19.640000000
0  0  0  0  0.000900000  -8.920000000  19.760000000
0  0  0  0  0.000950000  -8.860000000  19.880000000
0  0  0  0  0.001000000  -8.800000000  -20.000000000
0  0  0  0  0.001050000  -8.740000000  -19.880000000
0  0  0  0  0.001100000  -8.680000000  -19.760000000
0  0  0  0  0.001150000  -8.620000000  -19.640000000
0  0  0  0  0.001200000  -8.560000000  -19.520000000
0  0  0  0  0.001250000  -8.500000000  -19.400000000
0  0  0  0  0.001300000  -8.440000000  -19.280000000
0  0  0  0  0.001350000  -8.380000000  -19.160000000
0  0  0  0  0.001400000  -8.320000000  -19.040000000
0  0  0  0  0.001450000  -8.260000000  -18.920000000
0  0  0  0  0.001500000  -8.200000000  -18.800000000
0  0  0  0  0.001550000  -8.140000000  -18.680000000
0  0  0  0  0.001600000  -8.080000000  -18.560000000
0  0  0  0  0.001650000  -8.020000000  -18.440000000
0  0  0  0  0.001700000  -7.960000000  -18.320000000
0  0  0  0  0.001750000  -7.900000000  -18.200000000
0  0  0  0  0.001800000  -7.840000000  -18.080000000
0  0  0  0  0.001850000  -7.780000000  -17.960000000
0  0  0  0  0.001900000  -7.720000000  -17.840000000
0  0  0  0  0.001950000  -7.660000000  -17.720000000
0  0  0  0  0.002000000  -7.600000000  -17.600000000
0  0  0  0  0.002050000  -7.540000000  -17.480000000
0  0  0  0  0.002100000  -7.480000000  -17.360000000
0  0  0  0  0.002150000  -7.420000000  -17.240000000
0  0  0  0  0.002200000  -7.360000000  -17.120000000
0  0  0  0  0.002250000  -7.300000000  -17.000000000
0  0  0  0  0.002300000  -7.240000000  -16.880000000
0  0  0  0  0.002350000  -7.180000000  -16.760000000
0  0  0  0  0.002400000  -7.120000000  -16.640000000
0  0  0  0  0.002450000  -7.060000000  -16.520000000
0  0  0  0  0.002500000  -7.000000000  -16.400000000
0  0  0  0  0.002550000  -6.940000000  -16.280000000
0  0  0  0  0.002600000  -6.880000000  -16.160000000
0  0  0  0  0.002650000  -6.820000000  -16.040000000
0  0  0  0  0.002700000  -6.760000000  -15.920000000
0  0  0  0  0.002750000  -6.700000000  -15.800000000
0  0  0  0  0.002800000  -6.640000000  -15.680000000
0  0  0  0  0.002850000  -6.580000000  -15.560000000
0  0  0  0  0.002900000  -6.520000000  -15.440000000
0  0  0  0  0.002950000  -6.460000000  -15.320000000
0  0  0  0  0.003000000  -6.400000000  -15.200000000
0  0  0  0  0.003050000  -6.340000000  -15.080000000
0  0  0  0  0.003100000  -6.280000000  -14.960000000
0  0  0  0  0.003150000  -6.220000000  -14.840000000
0  0  0  0  0.003200000  -6.160000000  -14.720000000
0  0  0  0  0.003250000  -6.100000000  -14.600000000
0  0  0  0  0.003300000  -6.040000000  -14.480000000
0  0  0  0  0.003350000  -5.980000000  -14.360000000
0  0  0  0  0.003400000  -5.920000000  -14.240000000
0  0  0  0  0.003450000  -5.860000000  -14.120000000
0  0  0  0  0.003500000  -5.800000000  -14.000000000
0  0  0  0  0.003550000  -5.740000000  -13.880000000
0  0  0  0  0.003600000  -5.680000000  -13.760000000
0  0  0  0  0.003650000  -5.620000000  -13.640000000
0  0  0  0  0.003700000  -5.560000000  -13.520000000
0  0  0  0  0.003750000  -5.500000000  -13.400000000
0  0  0  0  0.003800000  -5.440000000  -13.280000000
0  0  0  0  0.003850000  -5.380000000  -13.160000000
0  0  0  0  0.003900000  -5.320000000  -13.040000000
0  0  0  0  0.003950000  -5.260000000  -12.920000000
0  0  0  0  0.004000000  -5.200000000  -12.800000000
0  0  0  0  0.004050000  -5.140000000  -12.680000000
0  0  0  0  0.004100000  -5.080000000  -12.560000000
0  0  0  0  0.004150000  -5.020000000  -12.440000000
0  0  0  0  0.004200000  -4.960000000  -12.320000000
0  0  0  0  0.004250000  -4.900000000  -12.200000000
0  0  0  0  0.004300000  -4.840000000  -12.080000000
0  0  0  0  0.004350000  -4.780000000  -11.960000000
0  0  0  0  0.004400000  -4.720000000  -11.840000000
0  0  0  0  0.004450000  -4.660000000  -11.720000000
0  0  0  0  0.004500000  -4.600000000  -11.600000000
0  0  0  0  0.004550000  -4.540000000  -11.480000000
0  0  0  0  0.004600000  -4.480000000  -11.360000000
0  0  0  0  0.004650000  -4.420000000  -11.240000000
0  0  0  0  0.004700000  -4.360000000  -11.120000000
0  0  0  0  0.004750000  -4.300000000  -11.000000000
0  0  0  0  0.004800000  -4.240000000  -10.880000000
0  0  0  0  0.004850000  -4.180000000  -10.760000000
0  0  0  0  0.004900000  -4.120000000  -10.640000000
0  0  0  0  0.004950000  -4.060000000  -10.520000000
0  0  0  0  0.005000000  -4.000000000  -10.400000000
0  0  0  0  0.005050000  -3.940000000  -10.280000000
0  0  0  0  0.005100000  -3.880000000  -10.160000000
0  0  0  0  0.005150000  -3.820000000  -10.040000000
0  0  0  0  0.005200000  -3.760000000  -9.920000000
0  0  0  0  0.005250000  -3.700000000  -9.800000000
0  0  0  0  0.005300000  -3.640000000  -9.680000000
0  0  0  0  0.005350000  -3.580000000  -9.560000000
0  0  0  0  0.005400000  -3.520000000  -9.440000000
0  0  0  0  0.005450000  -3.460000000  -9.320000000
0  0  0  0  0.005500000  -3.400000000  -9.200000000
0  0  0  0  0.005550000  -3.340000000  -9.080000000
0  0  0  0  0.005600000  -3.280000000  -8.960000000
0  0  0  0  0.005650000  -3.220000000  -8.840000000
0  0  0  0  0.005700000  -3.160000000  -8.720000000
0  0  0  0  0.005750000  -3.100000000  -8.600000000
0  0  0  0  0.005800000  -3.040000000  -8.480000000
0  0  0  0  0.005850000  -2.980000000  -8.360000000
0  0  0  0  0.005900000  -2.920000000  -8.240000000
0  0  0  0  0.005950000  -2.860000000  -8.120000000
0  0  0  0  0.006000000  -2.800000000  -8.000000000
0  0  0  0  0.006050000  -2.740000000  -7.880000000
0  0  0  0  0.006100000  -2.680000000  -7.760000000
0  0  0  0  0.006150000  -2.620000000  -7.640000000
0  0  0  0  0.006200000  -2.560000000  -7.520000000
0  0  0  0  0.006250000  -2.500000000  -7.400000000
