% Exemplo sintetico em formato COMSOL
% Fundamental: 60 Hz | Duracao: 1.0 s | Amostragem: 20 kHz
% H (cm)  W (cm)  N_DC  N_AC  Time (s)  Corrente de Curto (A)  Queda de Tensao (V)
0  0  0  0  0.000000000  10.000000000  -20.000000000
0  0  0  0  0.000050000  10.000000000  -20.000000000
0  0  0  0  0.000100000  10.000000000  -20.000000000
0  0  0  0  0.000150000  10.000000000  -20.000000000
0  0  0  0  0.000200000  10.000000000  -20.000000000
0  0  0  0  0.000250000  10.000000000  -20.000000000
0  0  0  0  0.000300000  10.000000000  -20.000000000
0  0  0  0  0.000350000  10.000000000  -20.000000000
0  0  0  0  0.000400000  10.000000000  -20.000000000
0  0  0  0  0.000450000  10.000000000  -20.000000000
0  0  0  0  0.000500000  10.000000000  -20.000000000
0  0  0  0  0.000550000  10.000000000  -20.000000000
0  0  0  0  0.000600000  10.000000000  -20.000000000
0  0  0  0  0.000650000  10.000000000  -20.000000000
0  0  0  0  0.000700000  10.000000000  -20.000000000
0  0  0  0  0.000750000  10.000000000  -20.000000000
0  0  0  0  0.000800000  10.000000000  -20.000000000
0  0  0  0  0.000850000  10.000000000  -20.000000000
0  0  0  0  0.000900000  10.000000000  -20.000000000
0  0  0  0  0.000950000  10.000000000  -20.000000000
0  0  0  0  0.001000000  10.000000000  20.000000000
0  0  0  0  0.001050000  10.000000000  20.000000000
0  0  0  0  0.001100000  10.000000000  20.000000000
0  0  0  0  0.001150000  10.000000000  20.000000000
0  0  0  0  0.001200000  10.000000000  20.000000000
0  0  0  0  0.001250000  10.000000000  20.000000000
0  0  0  0  0.001300000  10.000000000  20.000000000
0  0  0  0  0.001350000  10.000000000  20.000000000
0  0  0  0  0.001400000  10.000000000  20.000000000
0  0  0  0  0.001450000  10.000000000  20.000000000
0  0  0  0  0.001500000  10.000000000  20.000000000
0  0  0  0  0.001550000  10.000000000  20.000000000
0  0  0  0  0.001600000  10.000000000  20.000000000
0  0  0  0  0.001650000  10.000000000  20.000000000
0  0  0  0  0.001700000  10.000000000  20.000000000
0  0  0  0  0.001750000  10.000000000  20.000000000
0  0  0  0  0.001800000  10.000000000  20.000000000
0  0  0  0  0.001850000  10.000000000  20.000000000
0  0  0  0  0.001900000  10.000000000  20.000000000
0  0  0  0  0.001950000  10.000000000  20.000000000
0  0  0  0  0.002000000  10.000000000  20.000000000
0  0  0  0  0.002050000  10.000000000  20.000000000
0  0  0  0  0.002100000  10.000000000  20.000000000
0  0  0  0  0.002150000  10.000000000  20.000000000
0  0  0  0  0.002200000  10.000000000  20.000000000
0  0  0  0  0.002250000  10.000000000  20.000000000
0  0  0  0  0.002300000  10.000000000  20.000000000
0  0  0  0  0.002350000  10.000000000  20.000000000
0  0  0  0  0.002400000  10.000000000  20.000000000
0  0  0  0  0.002450000  10.000000000  20.000000000
0  0  0  0  0.002500000  10.000000000  20.000000000
0  0  0  0  0.002550000  10.000000000  20.000000000
0  0  0  0  0.002600000  10.000000000  20.000000000
0  0  0  0  0.002650000  10.000000000  20.000000000
0  0  0  0  0.002700000  10.000000000  20.000000000
0  0  0  0  0.002750000  10.000000000  20.000000000
0  0  0  0  0.002800000  10.000000000  20.000000000
0  0  0  0  0.002850000  10.000000000  20.000000000
0  0  0  0  0.002900000  10.000000000  20.000000000
0  0  0  0  0.002950000  10.000000000  20.000000000
0  0  0  0  0.003000000  10.000000000  20.000000000
0  0  0  0  0.003050000  10.000000000  20.000000000
0  0  0  0  0.003100000  10.000000000  20.000000000
0  0  0  0  0.003150000  10.000000000  20.000000000
0  0  0  0  0.003200000  10.000000000  20.000000000
0  0  0  0  0.003250000  10.000000000  20.000000000
0  0  0  0  0.003300000  10.000000000  20.000000000
0  0  0  0  0.003350000  10.000000000  20.000000000
0  0  0  0  0.003400000  10.000000000  20.000000000
0  0  0  0  0.003450000  10.000000000  20.000000000
0  0  0  0  0.003500000  10.000000000  20.000000000
0  0  0  0  0.003550000  10.000000000  20.000000000
0  0  0  0  0.003600000  10.000000000  20.000000000
0  0  0  0  0.003650000  10.000000000  20.000000000
0  0  0  0  0.003700000  10.000000000  20.000000000
0  0  0  0  0.003750000  10.000000000  20.000000000
0  0  0  0  0.003800000  10.000000000  20.000000000
0  0  0  0  0.003850000  10.000000000  20.000000000
0  0  0  0  0.003900000  10.000000000  20.000000000
0  0  0  0  0.003950000  10.000000000  20.000000000
0  0  0  0  0.004000000  10.000000000  20.000000000
0  0  0  0  0.004050000  10.000000000  20.000000000
0  0  0  0  0.004100000  10.000000000  20.000000000
0  0  0  0  0.004150000  10.000000000  20.000000000
0  0  0  0  0.004200000  10.000000000  20.000000000
0  0  0  0  0.004250000  10.000000000  20.000000000
0  0  0  0  0.004300000  10.000000000  20.000000000
0  0  0  0  0.004350000  10.000000000  20.000000000
0  0  0  0  0.004400000  10.000000000  20.000000000
0  0  0  0  0.004450000  10.000000000  20.000000000
0  0  0  0  0.004500000  10.000000000  20.000000000
0  0  0  0  0.004550000  10.000000000  20.000000000
0  0  0  0  0.004600000  10.000000000  20.000000000
0  0  0  0  0.004650000  10.000000000  20.000000000
0  0  0  0  0.004700000  10.000000000  20.000000000
0  0  0  0  0.004750000  10.000000000  20.000000000
0  0  0  0  0.004800000  10.000000000  20.000000000
0  0  0  0  0.004850000  10.000000000  20.000000000
0  0  0  0  0.004900000  10.000000000  20.000000000
0  0  0  0  0.004950000  10.000000000  20.000000000
0  0  0  0  0.005000000  10.000000000  20.000000000
0  0  0  0  0.005050000  10.000000000  20.000000000
0  0  0  0  0.005100000  10.000000000  20.000000000
0  0  0  0  0.005150000  10.000000000  20.000000000
0  0  0  0  0.005200000  10.000000000  20.000000000
0  0  0  0  0.005250000  10.000000000  20.000000000
0  0  0  0  0.005300000  10.000000000  20.000000000
0  0  0  0  0.005350000  10.000000000  20.000000000
0  0  0  0  0.005400000  10.000000000  20.000000000
0  0  0  0  0.005450000  10.000000000  20.000000000
0  0  0  0  0.005500000  10.000000000  20.000000000
0  0  0  0  0.005550000  10.000000000  20.000000000
0  0  0  0  0.005600000  10.000000000  20.000000000
0  0  0  0  0.005650000  10.000000000  20.000000000
0  0  0  0  0.005700000  10.000000000  20.000000000
0  0  0  0  0.005750000  10.000000000  20.000000000
0  0  0  0  0.005800000  10.000000000  20.000000000
0  0  0  0  0.005850000  10.000000000  20.000000000
0  0  0  0  0.005900000  10.000000000  20.000000000
0  0  0  0  0.005950000  10.000000000  20.000000000
0  0  0  0  0.006000000  10.000000000  20.000000000
0  0  0  0  0.006050000  10.000000000  20.000000000
0  0  0  0  0.006100000  10.000000000  20.000000000
0  0  0  0  0.006150000  10.000000000  20.000000000
0  0  0  0  0.006200000  10.000000000  20.000000000
0  0  0  0  0.006250000  10.000000000  20.000000000
0  0  0  0  0.006300000  10.000000000  20.000000000
0  0  0  0  0.006350000  10.000000000  20.000000000
0  0  0  0  0.006400000  10.000000000  20.000000000
0  0  0  0  0.006450000  10.000000000  20.000000000
0  0  0  0  0.006500000  10.000000000  20.000000000
0  0  0  0  0.006550000  10.000000000  20.000000000
0  0  0  0  0.006600000  10.000000000  20.000000000
0  0  0  0  0.006650000  10.000000000  20.000000000
0  0  0  0  0.006700000  10.000000000  20.000000000
0  0  0  0  0.006750000  10.000000000  20.000000000
0  0  0  0  0.006800000  10.000000000  20.000000000
0  0  0  0  0.006850000  10.000000000  20.000000000
0  0  0  0  0.006900000  10.000000000  20.000000000
0  0  0  0  0.006950000  10.000000000  20.000000000
0  0  0  0  0.007000000  10.000000000  20.000000000
0  0  0  0  0.007050000  10.000000000  20.000000000
