% Exemplo sintetico em formato COMSOL
% Fundamental: 60 Hz | Duracao: 1.0 s | Amostragem: 20 kHz
% H (cm)  W (cm)  N_DC  N_AC  Time (s)  Corrente de Curto (A)  Queda de Tensao (V)
0  0  0  0  0.000000000  10.000000000  15.200000000
0  0  0  0  0.000050000  9.880000000  15.440000000
0  0  0  0  0.000100000  9.760000000  15.680000000
0  0  0  0  0.000150000  9.640000000  15.920000000
0  0  0  0  0.000200000  9.520000000  16.160000000
0  0  0  0  0.000250000  9.400000000  16.400000000
0  0  0  0  0.000300000  9.280000000  16.640000000
0  0  0  0  0.000350000  9.160000000  16.880000000
0  0  0  0  0.000400000  9.040000000  17.120000000
0  0  0  0  0.000450000  8.920000000  17.360000000
0  0  0  0  0.000500000  8.800000000  17.600000000
0  0  0  0  0.000550000  8.680000000  17.840000000
0  0  0  0  0.000600000  8.560000000  18.080000000
0  0  0  0  0.000650000  8.440000000  18.320000000
0  0  0  0  0.000700000  8.320000000  18.560000000
0  0  0  0  0.000750000  8.200000000  18.800000000
0  0  0  0  0.000800000  8.080000000  19.040000000
0  0  0  0  0.000850000  7.960000000  19.280000000
0  0  0  0  0.000900000  7.840000000  19.520000000
0  0  0  0  0.000950000  7.720000000  19.760000000
0  0  0  0  0.001000000  7.600000000  20.000000000
0  0  0  0  0.001050000  7.480000000  19.760000000
0  0  0  0  0.001100000  7.360000000  19.520000000
0  0  0  0  0.001150000  7.240000000  19.280000000
0  0  0  0  0.001200000  7.120000000  19.040000000
0  0  0  0  0.001250000  7.000000000  18.800000000
0  0  0  0  0.001300000  6.880000000  18.560000000
0  0  0  0  0.001350000  6.760000000  18.320000000
0  0  0  0  0.001400000  6.640000000  18.080000000
0  0  0  0  0.001450000  6.520000000  17.840000000
0  0  0  0  0.001500000  6.400000000  17.600000000
0  0  0  0  0.001550000  6.280000000  17.360000000
0  0  0  0  0.001600000  6.160000000  17.120000000
0  0  0  0  0.001650000  6.040000000  16.880000000
0  0  0  0  0.001700000  5.920000000  16.640000000
0  0  0  0  0.001750000  5.800000000  16.400000000
0  0  0  0  0.001800000  5.680000000  16.160000000
0  0  0  0  0.001850000  5.560000000  15.920000000
0  0  0  0  0.001900000  5.440000000  15.680000000
0  0  0  0  0.001950000  5.320000000  15.440000000
0  0  0  0  0.002000000  5.200000000  15.200000000
0  0  0  0  0.002050000  5.080000000  14.960000000
0  0  0  0  0.002100000  4.960000000  14.720000000
0  0  0  0  0.002150000  4.840000000  14.480000000
0  0  0  0  0.002200000  4.720000000  14.240000000
0  0  0  0  0.002250000  4.600000000  14.000000000
0  0  0  0  0.002300000  4.480000000  13.760000000
0  0  0  0  0.002350000  4.360000000  13.520000000
0  0  0  0  0.002400000  4.240000000  13.280000000
0  0  0  0  0.002450000  4.120000000  13.040000000
0  0  0  0  0.002500000  4.000000000  12.800000000
0  0  0  0  0.002550000  3.880000000  12.560000000
0  0  0  0  0.002600000  3.760000000  12.320000000
0  0  0  0  0.002650000  3.640000000  12.080000000
0  0  0  0  0.002700000  3.520000000  11.840000000
0  0  0  0  0.002750000  3.400000000  11.600000000
0  0  0  0  0.002800000  3.280000000  11.360000000
0  0  0  0  0.002850000  3.160000000  11.120000000
0  0  0  0  0.002900000  3.040000000  10.880000000
0  0  0  0  0.002950000  2.920000000  10.640000000
0  0  0  0  0.003000000  2.800000000  10.400000000
0  0  0  0  0.003050000  2.680000000  10.160000000
0  0  0  0  0.003100000  2.560000000  9.920000000
0  0  0  0  0.003150000  2.440000000  9.680000000
0  0  0  0  0.003200000  2.320000000  9.440000000
0  0  0  0  0.003250000  2.200000000  9.200000000
0  0  0  0  0.003300000  2.080000000  8.960000000
0  0  0  0  0.003350000  1.960000000  8.720000000
0  0  0  0  0.003400000  1.840000000  8.480000000
0  0  0  0  0.003450000  1.720000000  8.240000000
0  0  0  0  0.003500000  1.600000000  8.000000000
0  0  0  0  0.003550000  1.480000000  7.760000000
