% Model:              refrencia.mph
% Version:            COMSOL 6.2.0.290
% Date:               Jun 25 2026, 05:08
% Table:              Table 1 - Global Evaluation 1
% H (cm)                                          W (cm)                                            N_DC                                              N_AC                                              Time (s)                                          Corrente de curto (A)                             Queda de tensao (V)
20.000                                            2.9000                                            350.00                                            1600.0                                            0.033333                                          1.7728                                            45.030
20.000                                            2.9000                                            350.00                                            1600.0                                            0.034375                                          -0.29976                                          68.025
20.000                                            2.9000                                            350.00                                            1600.0                                            0.035417                                          -5.3539                                           114.37
20.000                                            2.9000                                            350.00                                            1600.0                                            0.036458                                          -12.077                                           137.45
20.000                                            2.9000                                            350.00                                            1600.0                                            0.037500                                          -19.160                                           134.41
20.000                                            2.9000                                            350.00                                            1600.0                                            0.038542                                          -24.598                                           107.92
20.000                                            2.9000                                            350.00                                            1600.0                                            0.039583                                          -27.200                                           62.848
20.000                                            2.9000                                            350.00                                            1600.0                                            0.040625                                          -26.395                                           6.4775
20.000                                            2.9000                                            350.00                                            1600.0                                            0.041667                                          -22.199                                           -52.359
20.000                                            2.9000                                            350.00                                            1600.0                                            0.042708                                          -16.054                                           -106.60
20.000                                            2.9000                                            350.00                                            1600.0                                            0.043750                                          -8.0689                                           -146.03
20.000                                            2.9000                                            350.00                                            1600.0                                            0.044792                                          0.68189                                           -164.33
20.000                                            2.9000                                            350.00                                            1600.0                                            0.045833                                          8.7600                                            -158.94
20.000                                            2.9000                                            350.00                                            1600.0                                            0.046875                                          14.497                                            -131.74
20.000                                            2.9000                                            350.00                                            1600.0                                            0.047917                                          17.503                                            -85.718
20.000                                            2.9000                                            350.00                                            1600.0                                            0.048958                                          18.011                                            -26.251
20.000                                            2.9000                                            350.00                                            1600.0                                            0.050000                                          16.799                                            39.622
20.000                                            2.9000                                            350.00                                            1600.0                                            0.051042                                          13.230                                            99.935
20.000                                            2.9000                                            350.00                                            1600.0                                            0.052083                                          7.0228                                            143.56
20.000                                            2.9000                                            350.00                                            1600.0                                            0.053125                                          -1.0816                                           163.38
20.000                                            2.9000                                            350.00                                            1600.0                                            0.054167                                          -9.6701                                           156.80
20.000                                            2.9000                                            350.00                                            1600.0                                            0.055208                                          -16.472                                           127.08
20.000                                            2.9000                                            350.00                                            1600.0                                            0.056250                                          -20.321                                           79.072
20.000                                            2.9000                                            350.00                                            1600.0                                            0.057292                                          -20.611                                           20.118
20.000                                            2.9000                                            350.00                                            1600.0                                            0.058333                                          -18.411                                           -43.424
20.000                                            2.9000                                            400.00                                            1600.0                                            0.0000                                            62.969                                            1599.4
20.000                                            2.9000                                            400.00                                            1600.0                                            0.0010417                                         40.839                                            1106.1
20.000                                            2.9000                                            400.00                                            1600.0                                            0.0020833                                         13.247                                            463.47
20.000                                            2.9000                                            400.00                                            1600.0                                            0.0031250                                         -1.9813                                           115.61
20.000                                            2.9000                                            400.00                                            1600.0                                            0.0041667                                         -6.1317                                           23.859
20.000                                            2.9000                                            400.00                                            1600.0                                            0.0052083                                         -6.9252                                           -9.9672
20.000                                            2.9000                                            400.00                                            1600.0                                            0.0062500                                         -5.6690                                           -16.992
20.000                                            2.9000                                            400.00                                            1600.0                                            0.0072917                                         -3.8253                                           -28.431
20.000                                            2.9000                                            400.00                                            1600.0                                            0.0083333                                         -1.5120                                           -38.404
20.000                                            2.9000                                            400.00                                            1600.0                                            0.0093750                                         0.98303                                           -43.763
20.000                                            2.9000                                            400.00                                            1600.0                                            0.010417                                          3.3076                                            -42.987
20.000                                            2.9000                                            400.00                                            1600.0                                            0.011458                                          5.1234                                            -35.799
