% Model:              refrencia.mph
% Version:            COMSOL 6.2.0.290
% Date:               Jun 29 2026, 22:43
% Table:              Table 1 - Global Evaluation 1
% H (cm)                                          W (cm)                                            N_DC                                              N_AC                                              Time (s)                                          Corrente de curto (A)                             Queda de tensao (V)
90                                                0.8                                               300                                               2900                                              0.03333333333333333                               0.26266220730780504                               6.671620065617841
90                                                0.8                                               300                                               2900                                              0.034375                                          -10.917212290060823                               42.98287973158069
90                                                0.8                                               300                                               2900                                              0.035416666666666666                              -33.35057747344174                                48.34028084478223
90                                                0.8                                               300                                               2900                                              0.036458333333333336                              -51.04322516329832                                45.54440404700604
90                                                0.8                                               300                                               2900                                              0.0375                                            -60.60750044756734                                36.65800350862067
90                                                0.8                                               300                                               2900                                              0.03854166666666667                               -60.72024941137985                                22.72045114188849
90                                                0.8                                               300                                               2900                                              0.03958333333333333                               -52.90081396342847                                2.2296516376855484
90                                                0.8                                               300                                               2900                                              0.040625                                          -36.5195668811557                                 -17.40210231113004
90                                                0.8                                               300                                               2900                                              0.041666666666666664                              -14.57984319278697                                -34.38760158755856
90                                                0.8                                               300                                               2900                                              0.042708333333333334                              5.989668673531301                                 -54.60484331856644
90                                                0.8                                               300                                               2900                                              0.04375                                           18.027909329119794                                -84.47988813946134
90                                                0.8                                               300                                               2900                                              0.04479166666666667                               22.58011060363129                                 -112.67669281559199
90                                                0.8                                               300                                               2900                                              0.04583333333333334                               24.84131669942017                                 -121.01510260603636
90                                                0.8                                               300                                               2900                                              0.046875                                          26.790215302193708                                -102.74686016226892
90                                                0.8                                               300                                               2900                                              0.04791666666666666                               28.146869283773544                                -60.613598303557616
90                                                0.8                                               300                                               2900                                              0.04895833333333333                               28.544511654567685                                -1.4076350875800123
90                                                0.8                                               300                                               2900                                              0.05                                              27.735309684224354                                65.41570898379189
90                                                0.8                                               300                                               2900                                              0.051041666666666666                              25.708556918981106                                129.36737253747782
90                                                0.8                                               300                                               2900                                              0.05208333333333333                               22.285233060929418                                179.5613139765631
90                                                0.8                                               300                                               2900                                              0.053125                                          -7.570750677986403                                148.077340297363
90                                                0.8                                               300                                               2900                                              0.05416666666666667                               -55.73346458834214                                48.15376522802184
90                                                0.8                                               300                                               2900                                              0.05520833333333333                               -63.42146327810685                                16.349445293365235
90                                                0.8                                               300                                               2900                                              0.056249999999999994                              -54.41000803818613                                -1.3298903872068621
90                                                0.8                                               300                                               2900                                              0.057291666666666664                              -37.013833640068405                               -18.567865766793208
90                                                0.8                                               300                                               2900                                              0.058333333333333334                              -14.653232492107442                               -34.560695492098326
90                                                0.8                                               300                                               3100                                              0                                                 24.27198974685254                                 616.5164390159159
90                                                0.8                                               300                                               3100                                              0.0010416666666666667                             -2.0190073071252947                               17.449119117584527
90                                                0.8                                               300                                               3100                                              0.0020833333333333333                             -4.7226438932780646                               7.0448451107371595
90                                                0.8                                               300                                               3100                                              0.003125                                          -6.305073872994613                                5.784620165236641
90                                                0.8                                               300                                               3100                                              0.004166666666666667                              -6.906706874258269                                4.174767815223062
90                                                0.8                                               300                                               3100                                              0.005208333333333333                              -6.472321958407146                                1.5365187957584299
90                                                0.8                                               300                                               3100                                              0.00625                                           -5.055011238751413                                -1.3972854642858
90                                                0.8                                               300                                               3100                                              0.007291666666666667                              -2.8722930852901594                               -4.224339647802927
90                                                0.8                                               300                                               3100                                              0.008333333333333333                              -0.2600496855687578                               -6.605262013446266
90                                                0.8                                               300                                               3100                                              0.009375                                          2.377701950565162                                 -8.338275174211729
90                                                0.8                                               300                                               3100                                              0.010416666666666666                              4.625768544409756                                 -9.505478971992014
90                                                0.8                                               300                                               3100                                              0.011458333333333333                              6.2080568257257545                                -8.248853165865576
90                                                0.8                                               300                                               3100                                              0.0125                                            6.86556570747877                                  -5.219753451422322
90                                                0.8                                               300                                               3100                                              0.013541666666666667                              6.488058030262832                                 -1.1368225706239201
90                                                0.8                                               300                                               3100                                              0.014583333333333334                              5.119290577650585                                 3.029980672324791
90                                                0.8                                               300                                               3100                                              0.015625                                          2.9595119121497566                                6.439697850036703
