% Model:              refrencia.mph
% Version:            COMSOL 6.2.0.290
% Date:               Jun 25 2026, 17:07
% Table:              Table 1 - Global Evaluation 1
% H (cm)                                          W (cm)                                            N_DC                                              N_AC                                              Time (s)                                          Corrente de curto (A)                             Queda de tensao (V)
20.000                                            2.9000                                            350.00                                            1800.0                                            0.033333                                          2.2043                                            55.990
20.000                                            2.9000                                            350.00                                            1800.0                                            0.034375                                          0.51458                                           69.946
20.000                                            2.9000                                            350.00                                            1800.0                                            0.035417                                          -3.5654                                           118.59
20.000                                            2.9000                                            350.00                                            1800.0                                            0.036458                                          -9.0741                                           144.53
20.000                                            2.9000                                            350.00                                            1800.0                                            0.037500                                          -15.004                                           144.22
20.000                                            2.9000                                            350.00                                            1800.0                                            0.038542                                          -19.815                                           119.20
20.000                                            2.9000                                            350.00                                            1800.0                                            0.039583                                          -22.431                                           74.095
20.000                                            2.9000                                            350.00                                            1800.0                                            0.040625                                          -22.311                                           16.110
20.000                                            2.9000                                            350.00                                            1800.0                                            0.041667                                          -19.385                                           -45.721
20.000                                            2.9000                                            350.00                                            1800.0                                            0.042708                                          -14.797                                           -103.63
20.000                                            2.9000                                            350.00                                            1800.0                                            0.043750                                          -8.5550                                           -147.18
20.000                                            2.9000                                            350.00                                            1800.0                                            0.044792                                          -1.4574                                           -169.37
20.000                                            2.9000                                            350.00                                            1800.0                                            0.045833                                          5.3716                                            -166.94
20.000                                            2.9000                                            350.00                                            1800.0                                            0.046875                                          10.552                                            -141.05
20.000                                            2.9000                                            350.00                                            1800.0                                            0.047917                                          13.547                                            -95.048
20.000                                            2.9000                                            350.00                                            1800.0                                            0.048958                                          14.305                                            -34.994
20.000                                            2.9000                                            350.00                                            1800.0                                            0.050000                                          13.606                                            32.091
20.000                                            2.9000                                            350.00                                            1800.0                                            0.051042                                          10.900                                            94.439
20.000                                            2.9000                                            350.00                                            1800.0                                            0.052083                                          6.1216                                            141.44
20.000                                            2.9000                                            350.00                                            1800.0                                            0.053125                                          -0.21517                                          165.43
20.000                                            2.9000                                            350.00                                            1800.0                                            0.054167                                          -7.0848                                           162.90
20.000                                            2.9000                                            350.00                                            1800.0                                            0.055208                                          -12.805                                           135.73
20.000                                            2.9000                                            350.00                                            1800.0                                            0.056250                                          -16.291                                           88.577
20.000                                            2.9000                                            350.00                                            1800.0                                            0.057292                                          -16.970                                           28.706
20.000                                            2.9000                                            350.00                                            1800.0                                            0.058333                                          -15.640                                           -36.888
20.000                                            2.9000                                            400.00                                            1800.0                                            0.0000                                            56.074                                            1424.3
20.000                                            2.9000                                            400.00                                            1800.0                                            0.0010417                                         39.909                                            1082.4
20.000                                            2.9000                                            400.00                                            1800.0                                            0.0020833                                         21.892                                            683.04
20.000                                            2.9000                                            400.00                                            1800.0                                            0.0031250                                         5.2999                                            300.55
20.000                                            2.9000                                            400.00                                            1800.0                                            0.0041667                                         -1.9975                                           128.87
20.000                                            2.9000                                            400.00                                            1800.0                                            0.0052083                                         -4.3565                                           55.279
20.000                                            2.9000                                            400.00                                            1800.0                                            0.0062500                                         -4.6210                                           9.6255
20.000                                            2.9000                                            400.00                                            1800.0                                            0.0072917                                         -3.5284                                           -20.891
20.000                                            2.9000                                            400.00                                            1800.0                                            0.0083333                                         -1.6068                                           -40.814
20.000                                            2.9000                                            400.00                                            1800.0                                            0.0093750                                         0.68596                                           -51.308
20.000                                            2.9000                                            400.00                                            1800.0                                            0.010417                                          2.9288                                            -52.609
20.000                                            2.9000                                            400.00                                            1800.0                                            0.011458                                          4.7528                                            -45.213
20.000                                            2.9000                                            400.00                                            1800.0                                            0.012500                                          5.8722                                            -30.450
20.000                                            2.9000                                            400.00                                            1800.0                                            0.013542                                          6.1137                                            -10.645
20.000                                            2.9000                                            400.00                                            1800.0                                            0.014583                                          5.4338                                            11.019
20.000                                            2.9000                                            400.00                                            1800.0                                            0.015625                                          3.9259                                            30.987
20.000                                            2.9000                                            400.00                                            1800.0                                            0.016667                                          1.9230                                            48.843
20.000                                            2.9000                                            400.00                                            1800.0                                            0.017708                                          -0.45436                                          57.191
20.000                                            2.9000                                            400.00                                            1800.0                                            0.018750                                          -2.8425                                           54.800
20.000                                            2.9000                                            400.00                                            1800.0                                            0.019792                                          -4.7428                                           45.467
20.000                                            2.9000                                            400.00                                            1800.0                                            0.020833                                          -5.8931                                           29.921
20.000                                            2.9000                                            400.00                                            1800.0                                            0.021875                                          -6.1294                                           10.246
20.000                                            2.9000                                            400.00                                            1800.0                                            0.022917                                          -5.5977                                           -15.183
20.000                                            2.9000                                            400.00                                            1800.0                                            0.023958                                          -4.1727                                           -37.256
