% Model:              1_Core_Coils_2AC_1DC.mph
% Version:            COMSOL 6.2.0.290
% Date:               Jul 13 2026, 20:23
% Table:              Table 1 - Global Evaluation 1
% H (cm)                                          W (cm)                                            N_DC                                              N_AC                                              Time (s)                                          Corrente de curto (A)                             Queda de tensao (V)
50.000                                            1.4000                                            200.00                                            1300.0                                            0.0000                                            -0.0000077566                                     0.0065739
50.000                                            1.4000                                            200.00                                            1300.0                                            0.0010417                                         -1.3848                                           33.558
50.000                                            1.4000                                            200.00                                            1300.0                                            0.0020833                                         -3.5766                                           36.156
50.000                                            1.4000                                            200.00                                            1300.0                                            0.0031250                                         -5.3517                                           30.000
50.000                                            1.4000                                            200.00                                            1300.0                                            0.0041667                                         -6.2862                                           19.935
50.000                                            1.4000                                            200.00                                            1300.0                                            0.0052083                                         -6.3455                                           4.7579
50.000                                            1.4000                                            200.00                                            1300.0                                            0.0062500                                         -5.4742                                           -12.046
50.000                                            1.4000                                            200.00                                            1300.0                                            0.0072917                                         -3.8747                                           -29.686
50.000                                            1.4000                                            200.00                                            1300.0                                            0.0083333                                         -1.5434                                           -39.203
50.000                                            1.4000                                            200.00                                            1300.0                                            0.0093750                                         1.0753                                            -41.419
50.000                                            1.4000                                            200.00                                            1300.0                                            0.010417                                          3.5141                                            -37.743
50.000                                            1.4000                                            200.00                                            1300.0                                            0.011458                                          5.3584                                            -29.829
50.000                                            1.4000                                            200.00                                            1300.0                                            0.012500                                          6.4472                                            -15.846
50.000                                            1.4000                                            200.00                                            1300.0                                            0.013542                                          6.6268                                            2.3864
50.000                                            1.4000                                            200.00                                            1300.0                                            0.014583                                          5.8111                                            20.603
50.000                                            1.4000                                            200.00                                            1300.0                                            0.015625                                          4.0393                                            33.867
50.000                                            1.4000                                            200.00                                            1300.0                                            0.016667                                          1.5468                                            39.290
50.000                                            1.4000                                            200.00                                            1300.0                                            0.017708                                          -1.1463                                           39.615
50.000                                            1.4000                                            200.00                                            1300.0                                            0.018750                                          -3.5909                                           35.791
50.000                                            1.4000                                            200.00                                            1300.0                                            0.019792                                          -5.3959                                           28.878
50.000                                            1.4000                                            200.00                                            1300.0                                            0.020833                                          -6.4318                                           16.237
50.000                                            1.4000                                            200.00                                            1300.0                                            0.021875                                          -6.5812                                           -1.2288
50.000                                            1.4000                                            200.00                                            1300.0                                            0.022917                                          -5.7692                                           -19.537
50.000                                            1.4000                                            200.00                                            1300.0                                            0.023958                                          -4.0372                                           -33.814
50.000                                            1.4000                                            200.00                                            1300.0                                            0.025000                                          -1.5975                                           -40.576
50.000                                            1.4000                                            200.00                                            1300.0                                            0.025521                                          -0.86461                                          -37.304
50.000                                            1.4000                                            200.00                                            1300.0                                            0.026042                                          0.87778                                           -66.433
50.000                                            1.4000                                            200.00                                            1300.0                                            0.026563                                          3.4181                                            -90.831
50.000                                            1.4000                                            200.00                                            1300.0                                            0.027083                                          6.3206                                            -110.45
50.000                                            1.4000                                            200.00                                            1300.0                                            0.027604                                          9.2253                                            -125.18
50.000                                            1.4000                                            200.00                                            1300.0                                            0.028125                                          11.983                                            -134.55
50.000                                            1.4000                                            200.00                                            1300.0                                            0.028646                                          14.606                                            -137.90
50.000                                            1.4000                                            200.00                                            1300.0                                            0.029167                                          17.062                                            -134.92
50.000                                            1.4000                                            200.00                                            1300.0                                            0.029688                                          19.240                                            -125.77
50.000                                            1.4000                                            200.00                                            1300.0                                            0.030208                                          21.085                                            -110.71
50.000                                            1.4000                                            200.00                                            1300.0                                            0.030729                                          22.521                                            -90.354
50.000                                            1.4000                                            200.00                                            1300.0                                            0.031250                                          23.481                                            -65.505
50.000                                            1.4000                                            200.00                                            1300.0                                            0.031771                                          24.079                                            -36.721
50.000                                            1.4000                                            200.00                                            1300.0                                            0.032292                                          24.172                                            -5.4267
50.000                                            1.4000                                            200.00                                            1300.0                                            0.032813                                          23.701                                            27.031
50.000                                            1.4000                                            200.00                                            1300.0                                            0.033333                                          22.648                                            59.314
50.000                                            1.4000                                            200.00                                            1300.0                                            0.033854                                          21.027                                            90.106
50.000                                            1.4000                                            200.00                                            1300.0                                            0.034375                                          18.865                                            118.14
50.000                                            1.4000                                            200.00                                            1300.0                                            0.034896                                          16.197                                            142.20
50.000                                            1.4000                                            200.00                                            1300.0                                            0.035417                                          13.018                                            161.09
50.000                                            1.4000                                            200.00                                            1300.0                                            0.035938                                          9.2073                                            173.45
50.000                                            1.4000                                            200.00                                            1300.0                                            0.036458                                          4.3393                                            177.30
50.000                                            1.4000                                            200.00                                            1300.0                                            0.036979                                          -1.4756                                           172.29
50.000                                            1.4000                                            200.00                                            1300.0                                            0.037500                                          -6.6126                                           162.29
50.000                                            1.4000                                            200.00                                            1300.0                                            0.038021                                          -10.389                                           148.95
50.000                                            1.4000                                            200.00                                            1300.0                                            0.038542                                          -13.251                                           131.23
50.000                                            1.4000                                            200.00                                            1300.0                                            0.039063                                          -15.478                                           108.80
50.000                                            1.4000                                            200.00                                            1300.0                                            0.039583                                          -17.128                                           82.143
50.000                                            1.4000                                            200.00                                            1300.0                                            0.040104                                          -18.198                                           52.125
50.000                                            1.4000                                            200.00                                            1300.0                                            0.040625                                          -18.665                                           19.849
