% Model:              refrencia.mph
% Version:            COMSOL 6.2.0.290
% Date:               Jun 27 2026, 21:18
% Table:              Table 1 - Global Evaluation 1
% H (cm)                                          W (cm)                                            N_DC                                              N_AC                                              Time (s)                                          Corrente de curto (A)                             Queda de tensao (V)
40.000                                            0.70000                                           280.00                                            2700.0                                            0.0000                                            26.532                                            673.91
40.000                                            0.70000                                           280.00                                            2700.0                                            0.0010417                                         -2.2751                                           10.943
40.000                                            0.70000                                           280.00                                            2700.0                                            0.0020833                                         -4.6685                                           8.4205
40.000                                            0.70000                                           280.00                                            2700.0                                            0.0031250                                         -6.2805                                           6.4085
40.000                                            0.70000                                           280.00                                            2700.0                                            0.0041667                                         -6.9093                                           4.1098
40.000                                            0.70000                                           280.00                                            2700.0                                            0.0052083                                         -6.5062                                           0.67574
40.000                                            0.70000                                           280.00                                            2700.0                                            0.0062500                                         -5.1155                                           -2.9340
40.000                                            0.70000                                           280.00                                            2700.0                                            0.0072917                                         -2.9476                                           -6.1369
40.000                                            0.70000                                           280.00                                            2700.0                                            0.0083333                                         -0.33336                                          -8.4672
40.000                                            0.70000                                           280.00                                            2700.0                                            0.0093750                                         2.3284                                            -9.5900
40.000                                            0.70000                                           280.00                                            2700.0                                            0.010417                                          4.6323                                            -9.3391
40.000                                            0.70000                                           280.00                                            2700.0                                            0.011458                                          6.2274                                            -7.7572
40.000                                            0.70000                                           280.00                                            2700.0                                            0.012500                                          6.8889                                            -4.6283
40.000                                            0.70000                                           280.00                                            2700.0                                            0.013542                                          6.5123                                            -0.52050
40.000                                            0.70000                                           280.00                                            2700.0                                            0.014583                                          5.1416                                            3.5961
40.000                                            0.70000                                           280.00                                            2700.0                                            0.015625                                          2.9689                                            6.6782
40.000                                            0.70000                                           280.00                                            2700.0                                            0.016667                                          0.34320                                           8.7174
40.000                                            0.70000                                           280.00                                            2700.0                                            0.017708                                          -2.3318                                           9.5052
40.000                                            0.70000                                           280.00                                            2700.0                                            0.018750                                          -4.6483                                           8.9332
40.000                                            0.70000                                           280.00                                            2700.0                                            0.019792                                          -6.2543                                           7.0742
40.000                                            0.70000                                           280.00                                            2700.0                                            0.020833                                          -6.9569                                           2.8987
40.000                                            0.70000                                           280.00                                            2700.0                                            0.021875                                          -6.5719                                           -0.99181
40.000                                            0.70000                                           280.00                                            2700.0                                            0.022917                                          -5.1790                                           -4.5471
40.000                                            0.70000                                           280.00                                            2700.0                                            0.023958                                          -2.9992                                           -7.4475
40.000                                            0.70000                                           280.00                                            2700.0                                            0.025000                                          -0.35541                                          -9.0274
40.000                                            0.70000                                           280.00                                            2700.0                                            0.026042                                          2.3351                                            -9.4199
40.000                                            0.70000                                           280.00                                            2700.0                                            0.027083                                          4.6639                                            -8.5364
40.000                                            0.70000                                           280.00                                            2700.0                                            0.028125                                          6.2788                                            -6.4525
40.000                                            0.70000                                           280.00                                            2700.0                                            0.029167                                          6.9656                                            -2.6781
40.000                                            0.70000                                           280.00                                            2700.0                                            0.030208                                          6.5993                                            1.6893
40.000                                            0.70000                                           280.00                                            2700.0                                            0.031250                                          5.2153                                            5.4677
40.000                                            0.70000                                           280.00                                            2700.0                                            0.032292                                          3.0200                                            7.9754
40.000                                            0.70000                                           280.00                                            2700.0                                            0.033333                                          0.37052                                           9.4112
40.000                                            0.70000                                           280.00                                            2700.0                                            0.034375                                          -7.9891                                           49.889
40.000                                            0.70000                                           280.00                                            2700.0                                            0.035417                                          -25.136                                           67.715
40.000                                            0.70000                                           280.00                                            2700.0                                            0.036458                                          -42.351                                           66.046
40.000                                            0.70000                                           280.00                                            2700.0                                            0.037500                                          -53.977                                           52.297
40.000                                            0.70000                                           280.00                                            2700.0                                            0.038542                                          -57.853                                           29.483
40.000                                            0.70000                                           280.00                                            2700.0                                            0.039583                                          -53.166                                           1.6047
40.000                                            0.70000                                           280.00                                            2700.0                                            0.040625                                          -42.210                                           -30.824
40.000                                            0.70000                                           280.00                                            2700.0                                            0.041667                                          -24.549                                           -57.900
40.000                                            0.70000                                           280.00                                            2700.0                                            0.042708                                          -2.7469                                           -75.211
40.000                                            0.70000                                           280.00                                            2700.0                                            0.043750                                          16.729                                            -87.543
40.000                                            0.70000                                           280.00                                            2700.0                                            0.044792                                          24.004                                            -109.32
40.000                                            0.70000                                           280.00                                            2700.0                                            0.045833                                          27.163                                            -115.54
