% Model:              refrencia.mph
% Version:            COMSOL 6.2.0.290
% Date:               Jun 23 2026, 05:22
% Table:              Table 1 - Global Evaluation 1
% H (cm)                                          W (cm)                                            N_DC                                              N_AC                                              Time (s)                                          Corrente de curto (A)                             Queda de tensao (V)
20.000                                            2.9000                                            350.00                                            1000.0                                            0.033333                                          0.74777                                           18.993
20.000                                            2.9000                                            350.00                                            1000.0                                            0.034375                                          -3.9835                                           59.337
20.000                                            2.9000                                            350.00                                            1000.0                                            0.035417                                          -15.007                                           91.604
20.000                                            2.9000                                            350.00                                            1000.0                                            0.036458                                          -28.084                                           99.695
20.000                                            2.9000                                            350.00                                            1000.0                                            0.037500                                          -39.345                                           86.807
20.000                                            2.9000                                            350.00                                            1000.0                                            0.038542                                          -45.558                                           58.483
20.000                                            2.9000                                            350.00                                            1000.0                                            0.039583                                          -45.376                                           19.978
20.000                                            2.9000                                            350.00                                            1000.0                                            0.040625                                          -38.657                                           -22.444
20.000                                            2.9000                                            350.00                                            1000.0                                            0.041667                                          -26.425                                           -62.326
20.000                                            2.9000                                            350.00                                            1000.0                                            0.042708                                          -11.672                                           -96.260
20.000                                            2.9000                                            350.00                                            1000.0                                            0.043750                                          4.4313                                            -116.55
20.000                                            2.9000                                            350.00                                            1000.0                                            0.044792                                          19.159                                            -120.74
20.000                                            2.9000                                            350.00                                            1000.0                                            0.045833                                          29.921                                            -109.03
20.000                                            2.9000                                            350.00                                            1000.0                                            0.046875                                          36.421                                            -80.033
20.000                                            2.9000                                            350.00                                            1000.0                                            0.047917                                          39.094                                            -34.795
20.000                                            2.9000                                            350.00                                            1000.0                                            0.048958                                          38.100                                            21.130
20.000                                            2.9000                                            350.00                                            1000.0                                            0.050000                                          32.844                                            77.464
20.000                                            2.9000                                            350.00                                            1000.0                                            0.051042                                          21.852                                            120.27
20.000                                            2.9000                                            350.00                                            1000.0                                            0.052083                                          4.8360                                            138.41
20.000                                            2.9000                                            350.00                                            1000.0                                            0.053125                                          -14.331                                           132.13
20.000                                            2.9000                                            350.00                                            1000.0                                            0.054167                                          -29.698                                           109.56
20.000                                            2.9000                                            350.00                                            1000.0                                            0.055208                                          -38.920                                           74.139
20.000                                            2.9000                                            350.00                                            1000.0                                            0.056250                                          -40.855                                           30.640
20.000                                            2.9000                                            350.00                                            1000.0                                            0.057292                                          -35.600                                           -15.233
20.000                                            2.9000                                            350.00                                            1000.0                                            0.058333                                          -25.900                                           -61.087
20.000                                            2.9000                                            400.00                                            1000.0                                            0.0000                                            100.10                                            2542.5
20.000                                            2.9000                                            400.00                                            1000.0                                            0.0010417                                         13.477                                            411.04
20.000                                            2.9000                                            400.00                                            1000.0                                            0.0020833                                         -3.7889                                           30.762
20.000                                            2.9000                                            400.00                                            1000.0                                            0.0031250                                         -5.9766                                           14.128
20.000                                            2.9000                                            400.00                                            1000.0                                            0.0041667                                         -6.7544                                           8.0434
20.000                                            2.9000                                            400.00                                            1000.0                                            0.0052083                                         -6.4820                                           1.2919
20.000                                            2.9000                                            400.00                                            1000.0                                            0.0062500                                         -5.2188                                           -5.5571
20.000                                            2.9000                                            400.00                                            1000.0                                            0.0072917                                         -3.1620                                           -11.582
20.000                                            2.9000                                            400.00                                            1000.0                                            0.0083333                                         -0.62622                                          -15.906
20.000                                            2.9000                                            400.00                                            1000.0                                            0.0093750                                         2.0028                                            -17.862
20.000                                            2.9000                                            400.00                                            1000.0                                            0.010417                                          4.3266                                            -17.105
20.000                                            2.9000                                            400.00                                            1000.0                                            0.011458                                          5.9937                                            -13.694
20.000                                            2.9000                                            400.00                                            1000.0                                            0.012500                                          6.7514                                            -8.1183
20.000                                            2.9000                                            400.00                                            1000.0                                            0.013542                                          6.4837                                            -1.2475
20.000                                            2.9000                                            400.00                                            1000.0                                            0.014583                                          5.2287                                            5.8084
20.000                                            2.9000                                            400.00                                            1000.0                                            0.015625                                          3.1752                                            11.917
20.000                                            2.9000                                            400.00                                            1000.0                                            0.016667                                          0.67786                                           17.218
20.000                                            2.9000                                            400.00                                            1000.0                                            0.017708                                          -1.9809                                           18.417
20.000                                            2.9000                                            400.00                                            1000.0                                            0.018750                                          -4.3318                                           16.971
20.000                                            2.9000                                            400.00                                            1000.0                                            0.019792                                          -6.0059                                           13.383
20.000                                            2.9000                                            400.00                                            1000.0                                            0.020833                                          -6.7602                                           7.8972
20.000                                            2.9000                                            400.00                                            1000.0                                            0.021875                                          -6.5752                                           -1.0757
20.000                                            2.9000                                            400.00                                            1000.0                                            0.022917                                          -5.3401                                           -8.6383
20.000                                            2.9000                                            400.00                                            1000.0                                            0.023958                                          -3.2686                                           -14.291
20.000                                            2.9000                                            400.00                                            1000.0                                            0.025000                                          -0.69798                                          -17.729
20.000                                            2.9000                                            400.00                                            1000.0                                            0.026042                                          1.9761                                            -18.539
20.000                                            2.9000                                            400.00                                            1000.0                                            0.027083                                          4.3212                                            -17.240
20.000                                            2.9000                                            400.00                                            1000.0                                            0.028125                                          5.9926                                            -13.721
20.000                                            2.9000                                            400.00                                            1000.0                                            0.029167                                          6.7512                                            -8.1238
20.000                                            2.9000                                            400.00                                            1000.0                                            0.030208                                          6.5781                                            1.1505
20.000                                            2.9000                                            400.00                                            1000.0                                            0.031250                                          5.3542                                            8.9971
20.000                                            2.9000                                            400.00                                            1000.0                                            0.032292                                          3.2850                                            14.707
20.000                                            2.9000                                            400.00                                            1000.0                                            0.033333                                          0.70646                                           17.944
20.000                                            2.9000                                            400.00                                            1000.0                                            0.034375                                          -4.2111                                           58.800
20.000                                            2.9000                                            400.00                                            1000.0                                            0.035417                                          -15.461                                           90.534
20.000                                            2.9000                                            400.00                                            1000.0                                            0.036458                                          -28.580                                           98.525
20.000                                            2.9000                                            400.00                                            1000.0                                            0.037500                                          -39.757                                           85.835
20.000                                            2.9000                                            400.00                                            1000.0                                            0.038542                                          -45.858                                           57.774
20.000                                            2.9000                                            400.00                                            1000.0                                            0.039583                                          -45.579                                           19.499
20.000                                            2.9000                                            400.00                                            1000.0                                            0.040625                                          -38.773                                           -22.717
20.000                                            2.9000                                            400.00                                            1000.0                                            0.041667                                          -26.421                                           -62.317
20.000                                            2.9000                                            400.00                                            1000.0                                            0.042708                                          -11.434                                           -95.701
20.000                                            2.9000                                            400.00                                            1000.0                                            0.043750                                          5.1529                                            -114.85
20.000                                            2.9000                                            400.00                                            1000.0                                            0.044792                                          20.808                                            -116.86
20.000                                            2.9000                                            400.00                                            1000.0                                            0.045833                                          32.383                                            -103.23
20.000                                            2.9000                                            400.00                                            1000.0                                            0.046875                                          38.761                                            -74.512
20.000                                            2.9000                                            400.00                                            1000.0                                            0.047917                                          40.167                                            -32.264
20.000                                            2.9000                                            400.00                                            1000.0                                            0.048958                                          36.549                                            17.472
20.000                                            2.9000                                            400.00                                            1000.0                                            0.050000                                          28.655                                            67.586
20.000                                            2.9000                                            400.00                                            1000.0                                            0.051042                                          15.386                                            105.02
20.000                                            2.9000                                            400.00                                            1000.0                                            0.052083                                          -1.7930                                           122.77
20.000                                            2.9000                                            400.00                                            1000.0                                            0.053125                                          -19.630                                           119.63
20.000                                            2.9000                                            400.00                                            1000.0                                            0.054167                                          -33.576                                           100.41
20.000                                            2.9000                                            400.00                                            1000.0                                            0.055208                                          -41.634                                           67.737
