Time;Tensao
0.0133333;-0.191848196
0.0135000;1.43996042
0.0136667;3.063010623
0.0138333;4.670733745
0.0140000;6.254936219
0.0141667;7.807982179
0.0143333;9.322264147
0.0145000;10.78928044
0.0146667;12.20367447
0.0148333;13.56070966
0.0150000;14.77152626
0.0151667;15.84796204
0.0153333;16.83020938
0.0155000;17.72675785
0.0156667;18.54089914
0.0158333;19.27026689
0.0160000;19.9159454
0.0161667;20.47621306
0.0163333;20.95094649
0.0165000;21.33940441
0.0166667;21.64373519
0.0168333;21.86412678
0.0170000;22.00149298
0.0171667;22.05911984
0.0173333;22.03226452
0.0175000;21.92361113
0.0176667;21.73777892
0.0178333;21.47634268
0.0180000;21.14103802
0.0181667;20.7323139
0.0183333;20.2568864
0.0185000;19.71124481
0.0186667;19.10359503
0.0188333;18.32365073
0.0190000;17.4808274
0.0191667;16.58221908
0.0193333;15.62478394
0.0195000;14.66232357
0.0196667;13.82532597
0.0198333;12.79616905
0.0200000;11.71695472
0.0201667;10.63873971
0.0203333;9.5015466
0.0205000;8.326552855
0.0206667;7.177735196
0.0208333;5.91378089
0.0210000;4.715345841
0.0211667;3.646180545
0.0213333;2.331139711
0.0215000;0.717086977
0.0216667;-0.13439097
0.0218333;-1.401319817
0.0220000;-2.441834097
0.0221667;-3.56426523
0.0223333;-4.731044705
0.0225000;-5.904286179
0.0226667;-7.089492728
0.0228333;-8.283135746
0.0230000;-9.459984744
0.0231667;-10.60823492
0.0233333;-11.72909502
0.0235000;-12.89965371
0.0236667;-14.02207675
0.0238333;-15.09235518
0.0240000;-16.09366598
0.0241667;-16.98539697
0.0243333;-17.81630827
0.0245000;-18.61448545
0.0246667;-19.35878875
0.0248333;-19.90121811
0.0250000;-20.44150411
0.0251667;-20.92344105
0.0253333;-21.35070027
0.0255000;-21.66499255
0.0256667;-21.93555181
0.0258333;-22.15344509
0.0260000;-22.29815735
0.0261667;-22.35573037
0.0263333;-22.32367557
0.0265000;-22.20863472
0.0266667;-22.00801842
0.0268333;-21.72011868
0.0270000;-21.33687247
0.0271667;-20.87225521
0.0273333;-20.32437486
0.0275000;-19.61535276
0.0276667;-18.85695115
0.0278333;-17.95875443
0.0280000;-16.93523534
0.0281667;-15.80623415
0.0283333;-14.58784398
0.0285000;-13.28885596
0.0286667;-11.91985766
0.0288333;-10.48988568
0.0290000;-9.006377661
0.0291667;-7.476842403
0.0293333;-5.911777283
0.0295000;-4.318810223
0.0296667;-2.703694994
