% Exemplo sintetico em formato COMSOL
% Sinal senoidal de tensao com 127 VRMS | 60 Hz | 1.0 s | 20 kHz
% H (cm)  W (cm)  N_DC  N_AC  Time (s)  Corrente de Curto (A)  Queda de Tensao (V)
0  0  0  0  0.000000000  0.000000000  0.000000000
0  0  0  0  0.000050000  0.000000000  3.385276323
0  0  0  0  0.000100000  0.000000000  6.769349873
0  0  0  0  0.000150000  0.000000000  10.151018305
0  0  0  0  0.000200000  0.000000000  13.529080128
0  0  0  0  0.000250000  0.000000000  16.902335134
0  0  0  0  0.000300000  0.000000000  20.269584821
0  0  0  0  0.000350000  0.000000000  23.629632821
0  0  0  0  0.000400000  0.000000000  26.981285325
0  0  0  0  0.000450000  0.000000000  30.323351506
0  0  0  0  0.000500000  0.000000000  33.654643946
0  0  0  0  0.000550000  0.000000000  36.973979050
0  0  0  0  0.000600000  0.000000000  40.280177476
0  0  0  0  0.000650000  0.000000000  43.572064546
0  0  0  0  0.000700000  0.000000000  46.848470670
0  0  0  0  0.000750000  0.000000000  50.108231755
0  0  0  0  0.000800000  0.000000000  53.350189623
0  0  0  0  0.000850000  0.000000000  56.573192424
0  0  0  0  0.000900000  0.000000000  59.776095038
0  0  0  0  0.000950000  0.000000000  62.957759491
0  0  0  0  0.001000000  0.000000000  66.117055351
0  0  0  0  0.001050000  0.000000000  69.252860137
0  0  0  0  0.001100000  0.000000000  72.364059711
0  0  0  0  0.001150000  0.000000000  75.449548679
0  0  0  0  0.001200000  0.000000000  78.508230782
0  0  0  0  0.001250000  0.000000000  81.539019284
0  0  0  0  0.001300000  0.000000000  84.540837361
0  0  0  0  0.001350000  0.000000000  87.512618481
0  0  0  0  0.001400000  0.000000000  90.453306784
0  0  0  0  0.001450000  0.000000000  93.361857458
0  0  0  0  0.001500000  0.000000000  96.237237109
0  0  0  0  0.001550000  0.000000000  99.078424127
0  0  0  0  0.001600000  0.000000000  101.884409054
0  0  0  0  0.001650000  0.000000000  104.654194935
0  0  0  0  0.001700000  0.000000000  107.386797678
0  0  0  0  0.001750000  0.000000000  110.081246404
0  0  0  0  0.001800000  0.000000000  112.736583787
0  0  0  0  0.001850000  0.000000000  115.351866399
0  0  0  0  0.001900000  0.000000000  117.926165042
0  0  0  0  0.001950000  0.000000000  120.458565080
0  0  0  0  0.002000000  0.000000000  122.948166764
0  0  0  0  0.002050000  0.000000000  125.394085549
0  0  0  0  0.002100000  0.000000000  127.795452412
0  0  0  0  0.002150000  0.000000000  130.151414160
0  0  0  0  0.002200000  0.000000000  132.461133730
0  0  0  0  0.002250000  0.000000000  134.723790491
0  0  0  0  0.002300000  0.000000000  136.938580529
0  0  0  0  0.002350000  0.000000000  139.104716943
0  0  0  0  0.002400000  0.000000000  141.221430112
0  0  0  0  0.002450000  0.000000000  143.287967980
0  0  0  0  0.002500000  0.000000000  145.303596316
0  0  0  0  0.002550000  0.000000000  147.267598975
0  0  0  0  0.002600000  0.000000000  149.179278158
0  0  0  0  0.002650000  0.000000000  151.037954653
0  0  0  0  0.002700000  0.000000000  152.842968083
0  0  0  0  0.002750000  0.000000000  154.593677133
0  0  0  0  0.002800000  0.000000000  156.289459787
0  0  0  0  0.002850000  0.000000000  157.929713539
0  0  0  0  0.002900000  0.000000000  159.513855616
0  0  0  0  0.002950000  0.000000000  161.041323180
