% Model:              refrencia.mph
% Version:            COMSOL 6.2.0.290
% Date:               Jul 7 2026, 18:43
% Table:              Table 1 - Global Evaluation 1
% H (cm)                                          W (cm)                                            N_DC                                              N_AC                                              Time (s)                                          Corrente de curto (A)                             Queda de tensao (V)
50                                                1.4                                               200                                               1780                                              0                                                 28.061424397398902                                712.8730289131361
50                                                1.4                                               200                                               1780                                              0.0008333333333333333                             13.693856481933917                                403.32498974612173
50                                                1.4                                               200                                               1780                                              0.0016666666666666666                             -3.156651190144873                                25.390301965793377
50                                                1.4                                               200                                               1780                                              0.0024999999999999996                             -5.414686495437712                                7.770559331573934
50                                                1.4                                               200                                               1780                                              0.003333333333333333                              -6.428857621429022                                7.521638454547978
50                                                1.4                                               200                                               1780                                              0.004166666666666667                              -6.87068775919208                                 5.089653337904231
50                                                1.4                                               200                                               1780                                              0.004999999999999999                              -6.663527802186705                                1.561015863302852
50                                                1.4                                               200                                               1780                                              0.005833333333333333                              -5.810028194263109                                -2.271119818591031
50                                                1.4                                               200                                               1780                                              0.006666666666666666                              -4.396936363885297                                -6.112941447213244
50                                                1.4                                               200                                               1780                                              0.0075                                            -2.5699864647871333                               -9.77662110059281
50                                                1.4                                               200                                               1780                                              0.008333333333333333                              -0.5557320045361601                               -14.115592915218363
50                                                1.4                                               200                                               1780                                              0.009166666666666667                              1.5025190829646262                                -17.337050397698683
50                                                1.4                                               200                                               1780                                              0.009999999999999998                              3.463009695918252                                 -17.608795919149433
50                                                1.4                                               200                                               1780                                              0.010833333333333332                              5.074445709352498                                 -16.41267529813824
50                                                1.4                                               200                                               1780                                              0.011666666666666665                              6.195759725298191                                 -13.44232501627104
50                                                1.4                                               200                                               1780                                              0.012499999999999999                              6.7400089969478                                   -8.40889389890894
50                                                1.4                                               200                                               1780                                              0.013333333333333332                              6.734974888271865                                 0.2537401232601597
50                                                1.4                                               200                                               1780                                              0.014166666666666666                              6.047937253694834                                 8.314009928156805
