% Model:              refrencia.mph
% Version:            COMSOL 6.2.0.290
% Date:               Jul 7 2026, 19:57
% Table:              Table 2 - Global Evaluation 1
% H (cm)                                          W (cm)                                            N_DC                                              N_AC                                              Time (s)                                          Corrente de curto (A)                             Queda de tensao (V)                               Corrente de curto sem limitador (A)               Tensao da rede (V)
50                                                1.4                                               200                                               1780                                              0                                                 28.085540808134912                                713.3998203409151                                 -0.0010662919011168383                            0
50                                                1.4                                               200                                               1780                                              0.0001666666666666667                             25.059212089708147                                647.7814860255515                                 -0.4439960215340382                               11.27749894696457
50                                                1.4                                               200                                               1780                                              0.0003333333333333333                             22.307893254127897                                589.1309794126332                                 -0.8862397936135692                               22.51049075778466
50                                                1.4                                               200                                               1780                                              0.0005000000000000000                             19.690001597959053                                533.7806845338087                                 -1.3249859821121552                               33.65464394564876
50                                                1.4                                               200                                               1780                                              0.0006666666666666666                             16.89065657072816                                 473.68865452569895                                -1.758503056267861                                44.66597762920368
50                                                1.4                                               200                                               1780                                              0.0008333333333333333                             13.672866876453053                                402.79185376690776                                -2.1850801222441043                               55.50103510500026
50                                                1.4                                               200                                               1780                                              0.001                                             9.623714887122206                                 310.55941348415246                                -2.603033675246002                                66.11705535124845
50                                                1.4                                               200                                               1780                                              0.0011666666666666665                             5.304264540352094                                 211.20046111097776                                -3.0107142435446694                               76.47214178603461
50                                                1.4                                               200                                               1780                                              0.0013333333333333333                             1.3639698955197874                                121.17026296019222                                -3.4065128981885677                               86.52542761398965
50                                                1.4                                               200                                               1780                                              0.0015                                            -1.3039913548661948                               63.11585669525865                                 -3.788867602711024                                96.23723710886003
50                                                1.4                                               200                                               1780                                              0.0016666666666666666                             -2.957513905377667                                30.44838899888039                                 -4.156269377774533                                105.56924219547315
50                                                1.4                                               200                                               1780                                              0.0018333333333333333                             -3.8722168667288632                               16.130305298226702                                -4.507268256422829                                114.48461371313984
50                                                1.4                                               200                                               1780                                              0.002                                             -4.402819859052984                                11.11654234357982                                 -4.8404790064380165                               122.9481667635256
50                                                1.4                                               200                                               1780                                              0.0021666666666666666                             -4.7686053495810405                               9.803923690011738                                 -5.154586597219298                                130.92649956937018
50                                                1.4                                               200                                               1780                                              0.002333333333333333                              -5.071636896230202                                9.568548131795302                                 -5.44835138960797                                 138.38812529604243
50                                                1.4                                               200                                               1780                                              0.0025                                            -5.349141555931687                                9.43540079502698                                  -5.720614028176843                                145.3035963156918
50                                                1.4                                               200                                               1780                                              0.0026666666666666666                             -5.610047608583517                                9.150411165560532                                 -5.97030001667645                                 151.64562042358182
50                                                1.4                                               200                                               1780                                              0.002833333333333333                              -5.853483803136964                                8.710679948274999                                 -6.196423958580861                                157.38916854795386
50                                                1.4                                               200                                               1780                                              0.003                                             -6.07652456337012                                 8.167849618737625                                 -6.398093445997586                                162.51157352833866
50                                                1.4                                               200                                               1780                                              0.0031666666666666666                             -6.2766449089416145                               7.565838885365727                                 -6.574512581593809                                166.99261957248274
50                                                1.4                                               200                                               1780                                              0.003333333333333333                              -6.452135273136787                                6.930386101170805                                 -6.724985119639574                                170.81462203884516
