% Model:              refrencia.mph
% Version:            COMSOL 6.2.0.290
% Date:               Jul 4 2026, 00:43
% Table:              Table 1 - Global Evaluation 1
% H (cm)                                          W (cm)                                            N_DC                                              N_AC                                              Time (s)                                          Corrente de curto (A)                             Queda de tensao (V)
30                                                1.4                                               220                                               1800                                              0                                                 31.036302633435277                                788.3299863351176
30                                                1.4                                               220                                               1800                                              0.0001666666666666667                             27.649886272581742                                713.5846102705408
30                                                1.4                                               220                                               1800                                              0.0003333333333333333                             24.562717466372913                                646.4035144036565
30                                                1.4                                               220                                               1800                                              0.0005000000000000000                             21.47236643283552                                 579.052751339671
30                                                1.4                                               220                                               1800                                              0.0006666666666666666                             18.049356358868494                                503.1196291444634
30                                                1.4                                               220                                               1800                                              0.0008333333333333333                             13.6553311007437                                  402.34644506389026
30                                                1.4                                               220                                               1800                                              0.001                                             8.382626100581158                                 279.0357583060098
30                                                1.4                                               220                                               1800                                              0.0011666666666666665                             3.606025326961458                                 168.0651850908556
30                                                1.4                                               220                                               1800                                              0.0013333333333333333                             0.39522524869007786                               96.56414893071761
30                                                1.4                                               220                                               1800                                              0.0015                                            -1.5808128989045955                               56.08458947668327
30                                                1.4                                               220                                               1800                                              0.0016666666666666666                             -2.748269749014188                                35.76319057051277
30                                                1.4                                               220                                               1800                                              0.0018333333333333333                             -3.4969144112029698                               25.66298766858441
30                                                1.4                                               220                                               1800                                              0.002                                             -4.049485399726758                                20.09123761046596
30                                                1.4                                               220                                               1800                                              0.0021666666666666666                             -4.5149459713051066                               16.24687189822048
30                                                1.4                                               220                                               1800                                              0.002333333333333333                              -4.903066441063694                                13.850237693024615
30                                                1.4                                               220                                               1800                                              0.0025                                            -5.234378194294237                                12.35039018061818
30                                                1.4                                               220                                               1800                                              0.0026666666666666666                             -5.524791019543167                                11.315928527185383
30                                                1.4                                               220                                               1800                                              0.002833333333333333                              -5.783653026088323                                10.484381685310483
30                                                1.4                                               220                                               1800                                              0.003                                             -6.0154341711931725                               9.719545580032081
30                                                1.4                                               220                                               1800                                              0.0031666666666666666                             -6.221724996396214                                8.960804664018935
30                                                1.4                                               220                                               1800                                              0.003333333333333333                              -6.40279792920751                                 8.183554636974412
30                                                1.4                                               220                                               1800                                              0.0035                                            -6.558312180792541                                7.381367837667467
30                                                1.4                                               220                                               1800                                              0.0036666666666666666                             -6.687792468368762                                6.553893223523366
30                                                1.4                                               220                                               1800                                              0.003833333333333333                              -6.790920674932151                                5.699497242364052
30                                                1.4                                               220                                               1800                                              0.004                                             -6.867423120610803                                4.8181654756577705
30                                                1.4                                               220                                               1800                                              0.004166666666666667                              -6.915146564483371                                3.9603996835054343
30                                                1.4                                               220                                               1800                                              0.004333333333333333                              -6.936776792889655                                3.056582199774912
30                                                1.4                                               220                                               1800                                              0.0045                                            -6.931509346434728                                2.1285449861986265
30                                                1.4                                               220                                               1800                                              0.004666666666666666                              -6.8976707407552835                               1.2229851049057627
30                                                1.4                                               220                                               1800                                              0.004833333333333334                              -6.83673085267493                                 0.30953357185478303
30                                                1.4                                               220                                               1800                                              0.005                                             -6.748725189380093                                -0.6029977714091567
